name,full_name,title,company,city,state,country,areas_of_expertise,biography,linkedin,website
Yubi  Hassan,Yubi  Hassan,Founder,BlueHorn Tea,Hopkins,Minnesota,United States of America (USA),"B2C Sales, Branding, Marketing, Sales, Social Media","Yubi Hassan is the founder of BlueHorn Tea, a Somali tea company based in Hopkins, Minnesota that celebrates Somali culture through authentic spice blends and community-centered storytelling. After immigrating to the U.S. in 2018, Yubi began exploring entrepreneurship as a way to connect heritage with opportunity, eventually launching BlueHorn Tea and growing it from local pop-ups into early retail distribution. He has participated in gener8tor's gALPHA St. Thomas, gBETA St. Thomas, and MSP Equi",https://www.linkedin.com/in/ayub-yubi-hassan-ba003818a/,"bhteas.com
Doak Geiger | Geiger & Associates"
Doak Geiger,Doak Geiger,Founder,Geiger & Associates,Pewaukee,Wisconsin,,"Marketing, B2B Sales, Business Development","Strategic marketing professional with experience in working with Fortune 500 corporations, emerging companies, and not-for-profits in strategic planning and marketing.",https://www.linkedin.com/feed/?trk=guest_home_login,"geigerassociates.net
Yaron Ben-Zvi | Formerly Haven Life / MassMutual"
Yaron Ben-Zvi,Yaron Ben-Zvi,,Formerly Haven Life / MassMutual,Hastings on Hudson,New York,United States of America (USA),"Automation, B2B Sales, B2C Sales, Branding, Design Thinking, Data and Analytics, Go-To Market Strategy, Growth Strategy, Leadership and Management, Marketing, Product Research, Software Development","Yaron Ben-Zvi is a technology executive with a track record of building innovative businesses and sophisticated software platforms in complex spaces within insurance and other financial services.
Most recently, Yaron was the CEO of Haven Technologies, a subsidiary of MassMutual and a  SaaS company in the life insurance space. Yaron led the company through the spinout and for several years before as an internal division at MassMutual. In this role he led the build of a modern, cloud-based, and e",https://www.linkedin.com/in/yaron-benzvi/,"formerly: haventech.us and havenlife.com
Rob Burke | DonorDock"
Rob Burke,Rob Burke,Chief Marketing Officer,DonorDock,Fargo,North Dakota,United States of America (USA),"Branding, Design Thinking, Founder Wellness, Growth Strategy, KPIs and Business Metrics, Leadership and Management, Marketing, Search Engine Optimization (SEO), B2C Sales, B2B Sales","17+ years of working with global brands like Bobcat, Medtronics, and Compassion International, Rob has learned the heart of growth is connecting people to the stories that compel them to take action.
Back in 2015, Rob founded Yarn Media, an award-winning video production company that helped organizations clarify their message through story-driven video. Yarn was acquired by a client, BNG, in 2021 to help direct and build a world-class media department for the BNG brands like ConnectBooster and",https://www.linkedin.com/in/robjburke/,"donordock.com
Yaninne Vega | Pays de la Loire Region"
Yaninne Vega,Yaninne Vega,Representative in North America,Pays de la Loire Region,Chicago,Illinois,,"Growth Strategy, Business Development, Market Research, Fundraising","Yaninne explores the United States, Canada and Mexico in search for business opportunities for Pays de la Loire companies in multiple growth sectors including advanced manufacturing, food and agriculture, healthcare and renewable energies. She also facilitates academic, research and institutional partnerships between American and French stakeholders for cross international collaboration, investment, and development. She is perfectly trilingual in English, Spanish and French. After her bachelor's",https://www.linkedin.com/in/yaninne-vega-0433a352/,"https://www.paysdelaloire.fr/
Hanyu Xia | IMPACT"
Hanyu Xia,Hanyu Xia,Postdoctoral Researcher,IMPACT,Indianapolis,Indiana,United States of America (USA),"Automation, B2B Sales, B2C Sales, Branding, Business Development, Data and Analytics, Design Thinking, Fundraising, Go-To Market Strategy, Growth Strategy, Higher Education, Intellectual Property and Licensing, KPIs and Business Metrics, Leadership and Management, Manufacturing, Market Research, Marketing, Pitching, Product Development, Product Research, Regulatory and Compliance, Revenue Models, Sales, Search Engine Optimization (SEO), Software Development","Dr. Hanyu Xia is a systems integrator focused on embedding automation, human-centered design, and AI-driven analytics into biomedical research at Indiana University. He earned his Ph.D. in pharmacology with an interdisciplinary focus on sensory neuroscience, advanced imaging, and computer vision. His research centered on technical innovation, independently implementing emerging imaging and AI-based analysis methods to enable new experimental approaches and analytics.
Dr. Xia has previously foun",https://www.linkedin.com/in/hanyuxia/,"http://mskimpact.org/
Alison Accavitti | RIVET Work"
Alison Accavitti,Alison Accavitti,Co-founder & CMO,RIVET Work,Detroit,Michigan,United States of America (USA),"Branding, Business Development, Go-To Market Strategy, Growth Strategy, Leadership and Management, Marketing, Sales","Alison is a co-founder and CMO at RIVET Work in Detroit. Founded in 2020, RIVET enables every self-performing construction contractor to build labor plans for better productivity and profitability. Alison specializes in GTM, demand generation and funnel management and was also the early product designer of RIVET's software platform.",https://www.linkedin.com/in/alisonaccavitti/,"www.rivet.work
Bryce Wuori | Pavewise"
Bryce Wuori,Bryce Wuori,CEO,Pavewise,BISMARCK,North Dakota,United States of America (USA),"Pitching, Leadership and Management, Growth Strategy, Founder Wellness, Business Development","Bryce Wuori, PMP (CEO) is an Asphalt Paving expert with exceptional skills, having aided contractors in paving more than 5 million tons of asphalt across over 30 states. With his expertise, Bryce has accomplished successful management of over 250 million dollars in asphalt paving projects and believes technology is the future key to success within the Infrastructure Industry. Bryce holds a Master's in Project Management from the University of Mary and a B.S. in Construction Management from North",https://www.linkedin.com/in/bryce-wuori-89818b237,"https://pavewisepro.com
Jeff Wraley | Groundwork"
Jeff Wraley,Jeff Wraley,Founder,Groundwork,Zionsville,Indiana,,"B2B Sales, Business Development, Founder Wellness, Fundraising, Growth Strategy, KPIs and Business Metrics, Leadership and Management, Pitching, Revenue Models, Sales, Data and Analytics","Construction Engineer turned SaaS founder. MBA from University of Richmond. Lots of random work experiences including non-profit, consulting, and startups. I like to fly fish when I can :)",https://www.linkedin.com/in/jeffwraley/,"www.hellogroundwork.com
Thomas Caldera | OSF HealthCare"
Thomas Caldera,Thomas Caldera,Director of Digital Product Development,OSF HealthCare,Peoria,Illinois,United States of America (USA),"Leadership and Management, Product Research, Search Engine Optimization (SEO), Software Development","Many years of experience in leadership of technology, product development, and agile delivery.",https://www.linkedin.com/in/thomas-caldera,"osfhealthcare.org
Craig Wiroll | Wisconsin School of Business"
Craig Wiroll,Craig Wiroll,Career Coach,Wisconsin School of Business,Madison,Wisconsin,United States of America (USA),"Branding, Business Development, Design Thinking, Fundraising, Leadership and Management, Main Street/Small Business, Market Research, Marketing, Pitching, Social Emotional Learning (SEL), Social Impact and Corporate Responsibility, Sustainability, Workforce Development, Other","Craig Wiroll currently serves as a Career Coach for the Wisconsin School of Business at UW-Madison.
Craig is also Co-Founder of ""The Way Out"" - an anti-bias employment platform that hopes to break the cycle of incarceration through technology and living wage jobs by connected justice-involved job seekers and quality employers - based in Milwaukee, Wisconsin.
Craig, who started as an oft-confused first-generation student, has gone on to work at Mozilla as manager of the award-winning ""Gigabit C",linkedin.com/in/wiroll,"Wiroll.com
Mark Niblo | Durvet, INC"
Mark Niblo,Mark Niblo,Marketing Director,"Durvet, INC",Blue Springs,Missouri,United States of America (USA),"B2B Sales, Branding, Business Development, Growth Strategy, KPIs and Business Metrics, Market Research, Marketing, Pitching, Workforce Development","I have been in the animal health industry for over 30 years.  Initially I was with pharmaceutical and biological manufacturing companies in various marketing roles before coming to distribution in 1999.  My roles here at Durvet include heading the marketing department, as well as new business development with suppliers and contract manufacturing of our private label brands.",markniblo,"www.durvet.com
Garrett Peterson | Yahara Software"
Garrett Peterson,Garrett Peterson,Chief Strategy Officer,Yahara Software,Madison,Wisconsin,,"B2B Sales, Automation, Business Development, Data and Analytics, Founder Wellness, Growth Strategy, Fundraising, KPIs and Business Metrics, Leadership and Management, Pitching, Product Research, Revenue Models, Sales, Software Development","I am one of the owners of Yahara Software in Madison Wisconsin.  I have more than 35 years of experience building businesses as well as working in industry.  My technical expertise is in the area of building complex software systems, mainly in the scientific instrumentation and laboratory operations space.  Recently I have also become involved within the VC community through our new entity called Yahara Ventures.  I have an undergraduate degree in Computer Science from Lakeland College and an MB",https://www.linkedin.com/in/garrett-peterson-yahara/,"https://www.yaharasoftware.com
Willy Verbrugghe | Vehoco"
Willy Verbrugghe,Willy Verbrugghe,CEO,Vehoco,Houston,Texas,United States of America (USA),Other,"CEO, President, and leader who likes to create value for shareholders and investors with over 40 years of extraordinary success, leadership, and professional experience in creating, building, and growing industrial international technology manufacturing and service companies. Has 5 masters, lived in 5 countries, spoke 81/2 languages, was responsible for manufacturing plants and/or service centers in 186 countries around the world, and is a global executive who live in his shoes and is CSO Chief",https://www.linkedin.com/in/willyverbrugghe/,Calvin Williams | Freeman Capital
Calvin  Williams,Calvin  Williams,CEO/Founder,Freeman Capital,Charlotte,North Carolina,,"B2B Sales, B2C Sales, Business Development, Fundraising, Software Development, Pitching, Automation, Founder Wellness, Leadership and Management, KPIs and Business Metrics, Diversity, Equity, and Inclusion (DEI), Revenue Models","Calvin F. Williams, Jr. is the first African American owner of an automated wealth management platform for retail customers. As the CEO and Founder of FreemanCapital.co, he aims to close the wealth gap in overlooked communities across the country through increasing access to financial planning, investment management, and financial education.
Calvin has completed Google for Startups, Black Founder's Exchange, Atlanta's Ascend2020 Accelerator, and Charlotte's City Startup Lab's program where the",https://www.linkedin.com/in/calvinwilliamsjr/,"www. freemancapital.co
William Bryant | Quantalytix"
William Bryant,William Bryant,cofounder,Quantalytix,Birmingham,Alabama,,"Business Development, B2B Sales, Founder Wellness, Fundraising, Growth Strategy, Leadership and Management, Market Research, Sales","Cofounder of Quantalytix - started in 2016 and bringing big bank quantitative methods to small-to-medium sized financial institutions.
Board member of HealthRounds - a non-profit focused on improving the health of Alabama through policy, technology, and commerce.
Former career in Private Equity, Investment Banking, and Asset Management. Hobbies include triathlon, mountaineering, music.",https://www.linkedin.com/in/will-bryant-541202119/,"quantalytix.com
Will Wright | Protective Life"
Will Wright,Will Wright,Vice President of Innovation,Protective Life,Birmingham,Alabama,,"Design Thinking, Founder Wellness, Growth Strategy, KPIs and Business Metrics, Leadership and Management, Market Research, Pitching, Product Research, Social Impact and Corporate Responsibility, Sustainability, B2B Sales, B2C Sales, Business Development","Will Wright is the Vice President of Innovation at Protective Life Corporation where he leads the company's innovation efforts. In this role he has driven dozens of new ideas that improve the value chain of insurance while building a culture of innovation within a large company. Will is a lifelong innovator. He previously co-founded, grew and exited Pack Health (www.packhealth.com) – a digital health coaching company helping people with chronic disease. He has also led health, technology, and ec",https://www.linkedin.com/in/willwrighthealth/,"https://www.protective.com
Will Little | Prota Ventures"
Will Little,Will Little,Managing Director,Prota Ventures,Seattle,Washington,United States of America (USA),"Fundraising, Software Development","Hi! I'm a bioengineer turned software developer and venture builder/investor. At Prota, my partners and I enjoy helping both founders and enterprises build/scale new products. Our teams span software engineering, data science, marketing, business development, hardware, and design.
I personally enjoy writing about health science, startups, blockchains, software development, venture building/investing, and emerging technology. You can read the articles - and watch/listen to the Ventures Podcast",https://www.linkedin.com/in/wclittle/,Will Bright | Safe Ride
Will Bright,Will Bright,CEO & Co-founder,Safe Ride,Las Vegas,Nevada,United States of America (USA),"Fundraising, Pitching, Other","As the CEO of SafeRide.ai, I am on a mission to eliminate car accidents by bringing advanced driver assistance systems (ADAS) to the national used fleet. With over 10 years of experience scaling hardware companies to nine-figure revenue, I'm leveraging my skills to eliminate roadway deaths and injuries.
I serve as a venture advisor at Omni Venture Labs, where I help aspiring entrepreneurs reach their full potential. I am passionate about building and empowering communities that drive positive",https://www.linkedin.com/in/wbrght/,Walter Wilcox | Alyeschem
Walter Wilcox,Walter Wilcox,President,Alyeschem,Anchorage,Alaska,,"Business Development, Branding, Fundraising, Growth Strategy, Leadership and Management","Local Anchorage entrepreneur.  Has started multiple businesses, mostly in energy and real estate sectors.",linkedin.com/in/jr-wilcox,"www.quantumlaundry.com
Wiebke Hagendorf-Schroeter | whs-consult llc"
Wiebke Hagendorf-Schroeter,Wiebke Hagendorf-Schroeter,Principal Consultant,whs-consult llc,Ann Arbor,Michigan,United States of America (USA),"B2B Sales, Branding, Business Development, Design Thinking, Fundraising, Go-To Market Strategy, Growth Strategy, KPIs and Business Metrics, Leadership and Management, Manufacturing, Market Research, Marketing, Pitching, Product Development, Product Research, Revenue Models, Sales, Social Media, Sustainability, Other","Wiebke Hagendorf-Schroeter is a fractional CXO who helps startups turn strategy into results. She thrives in technical arenas - from hardware manufacturing and micromobility to medical devices and battery recycling - bringing strategic planning skills, commercial scaling know-how, and a design-thinking mindset to spark collaboration and innovation. Armed with a PhD in Chemistry and executive leadership experience, Wiebke pairs technical depth with a proven track record of driving growth. As Pres",https://www.linkedin.com/in/wiebke-hagendorf-schroeter/,"www.whs-consult.com
James Conroy-Finn | Invetica"
James Conroy-Finn,James Conroy-Finn,Founder/CTO,Invetica,London,Other,United Kingdom,"Automation, Cybersecurity, Data and Analytics, Design Thinking, Go-To Market Strategy, Fundraising, KPIs and Business Metrics, Leadership and Management, Pitching, Product Research, Search Engine Optimization (SEO), Social Media, Software Development, Founder Wellness, Other","I am a polymath and autodidact with an insatiable curiosity and strong desire to learn, grow, and make things better. I have a background in Physics and have worked in tech as a CTO and CPO with the aim of augmenting human intelligence and building a better future.
I'm a keen philosopher and a huge admirer of Ancient Greek concepts such as areté and eudaemonia. My interest has inspired me to give talks on the Philosophy of Happiness and Crafting Excellent Onboarding Processes.
I love to learn",https://www.linkedin.com/in/jamesconroyfinn/,"https://jamesconroyfinn.com
Ruh Hussain | UK Ministry of Defence"
Ruh Hussain,Ruh Hussain,Special Advisor to the Ministry of Defence,UK Ministry of Defence,Ascot,Other,,"Automation, Business Development, Cybersecurity, Data and Analytics, Founder Wellness, Fundraising, Go-To Market Strategy, Growth Strategy, Leadership and Management, Market Research, Pitching, Product Development, Product Research, Sales, Software Development, Other, B2B Sales","Ruh Hussain is a defence and AI strategist with expertise spanning the Ministry of Defence, the British Army, and the private sector. As Special Advisor to the Assistant Chief of the General Staff, he leads the Army's AI capability development and governance agenda. Previously, he founded Syncrosis, a defence-AI company that supported intelligence operations with NATO and Ukraine, and has worked with organisations including the EU and national governments. Ruh now mentors early-stage startups,",https://www.linkedin.com/in/ruh-hussain/,Nabil Ahsan | Fractal Grid
Nabil Ahsan,Nabil Ahsan,Founder and Product Designer,Fractal Grid,Katy,Texas,,"Design Thinking, Go-To Market Strategy, Growth Strategy, Marketing, Pitching, Product Development, Branding","I'm Nabil and I design software. I've been in Product and UX Design for the past 5 years where I worked at agencies, enterprise, and venture studios. I'm currently running my own design studio, Fractal Grid, where I work with early-stage founders to bring their ideas to life.",https://www.linkedin.com/in/nabilahsan/,"https://www.mdnabilahsan.com/
dieter emmer | TBA"
dieter emmer,dieter emmer,Blockchain Lead,TBA,,,,"B2B Sales, Automation, Business Development, KPIs and Business Metrics, Leadership and Management, Revenue Models, Other, Design Thinking, Data and Analytics, Product Research, Market Research, Growth Strategy",,linkedin.com/in/dieter-r-emmer-797461,linkedin.com/in/dieter-r-emmer-797461
Katherine Roth,Katherine Roth,Executive Director,Jamestown Regional Entrepreneur Center,Jamestown,North Dakota,,Other,I assisted with starting a regional non-profit organization that is focused on developing awareness of entrepreneurship and providing resources to existing small business owners in North Dakota.,,
Maggie Graff,Maggie Graff,Head of Community,FS Vector,St. Paul,Minnesota,,"Business Development, Go-To Market Strategy, Product Development, Regulatory and Compliance, KPIs and Business Metrics","I have a deep understanding and passion for small business and I love to help it thrive. I love to work with financial modeling, market research and entrepreneurship opportunities. I have worked in the energy, financial services, medtech and contract manufacturing and love to learn about all industries through my partnership with small business. Reach out if you have passion around growing your business.",https://www.linkedin.com/in/mgraff1/,https://www.hillcapitalcorp.com/
Matt Lea,Matt Lea,Web Application Architect,Schematical.com,Madison,Wisconsin,,"Cybersecurity, Automation, Software Development, Data and Analytics, Other","I have helped companies big and small scale their web based products, some as big as over $250,000/year gross. My current fun challenge is helping AI/ML startups scale up their offerings.
For more specifics on what I am doing check out my Youtube Channel where I teach people about the art of scaling your tech on AWS: https://www.youtube.com/schematical",https://www.linkedin.com/in/schematical/,https://schematical.com/
NM Comms,NM Comms,,CMRignite,,,,Marketing,,,
Alfiza Urmanova,Alfiza Urmanova,Global Strategic Pricing Consultant,Cargill,Minneapolis,Minnesota,,"B2B Sales, Data and Analytics, Pitching, Revenue Models, Other","With a background in management consulting, I have global experience helping Fortune 500 organizations navigate complex business challenges. Currently, I specialize in designing and implementing global pricing strategies for sustainable industrial solutions, driving profitability while uncovering the true value of these products. My expertise lies in leveraging data-driven insights and qualitative market inputs to optimize pricing strategies and improve margin performance. Throughout my career,",https://www.linkedin.com/in/alfizaurmanova/,
Dmitry Starodubov,Dmitry Starodubov,CEO,DSTAR Communications,Woodland Hills,California,,"Business Development, Growth Strategy, Intellectual Property and Licensing, Leadership and Management, Manufacturing, Pitching, Product Development","Dr. Dmitry S. Starodubov, CEO, DSTAR Communications, earned his M.S. Engineering at MTU MIREA (1992), and then PhD in Laser Physics at GPI RAS (1995) from the Nobel Prize Team for invention of laser (Academician Prokhorov). In 1996 he joined USC as NSF research fellow. In 1997 he invented soft writing of fiber Bragg gratings through the polymer, co-founded Sabeus Photonics with focus on deployable optical systems including Navy towed arrays and components for optical communications. In 2003-2009",,
Shovan Panigrahi,Shovan Panigrahi,Principal Corporate Strategy Consultant,Health Care Service Corporation,Chicago,Illinois,,"Business Development, Product Development, Product Research, Revenue Models, Market Research, Growth Strategy, Go-To Market Strategy, Pitching, Fundraising, Data and Analytics, Finance, KPIs and Business Metrics, Leadership and Management, Marketing","Shovan Panigrahi is a Principal Consultant on the Corporate Strategy and Transformation team at Health Care Service Corporation (HCSC), the largest customer-owned healthcare insurer in the US, where he leads new business initiatives. Shovan also has a background in healthcare venture capital, and he has worked with the Blue Venture Fund/Sandbox Industries, where he evaluated investments in precision medicine, healthcare IT, tech-enabled healthcare services, and medical devices.
Shovan also has",https://www.linkedin.com/in/shovan-panigrahi/,https://www.hcsc.com/
Akinsola Jegede,Akinsola Jegede,,Cox Automotive,Atlanta,,,,,https://www.linkedin.com/in/akinsolajegede/,Akinsola Jegede |
Manju Belgere,Manju Belgere,Process Architect,Intuit,Mountain View,California,,"B2B Sales, B2C Sales, Business Development, Data and Analytics, Finance, Go-To Market Strategy, Growth Strategy, KPIs and Business Metrics, Leadership and Management, Market Research, Product Development, Product Research, Revenue Models, Sales, Software Development, Other","My IT career has taken me through multiple roles and multiple domains that has been a great learning experience which I'm very grateful for. Been a developer, business analyst, consultant, systems architect, and product manager for various companies in the last 15 years. My passion is product building and systems solution. My experience has been in building SaaS products for hi-tech firms, and building CRM and ERP systems to power the business and grow.",www.linkedin.com/in/manjunatha-d-belgere-0a847a21,
Mahendra krishnapatnam,Mahendra krishnapatnam,Senior Architect,,Hawthorn woods,Illinois,,"Software Development, Product Development, Cybersecurity","With over 2 decades of IT, I have developed deep expertise in cyber security space and information security areas., Throughout my career, I have benefited from the guidance of mentors who helped shape my professional journey, and I am passionate to empower the next generation by sharing insights, real-time trends, best practices and building stronger networks.",https://www.linkedin.com/in/mahendra-krishnapatnam-7a623018/,
Taylor Knox,Taylor Knox,"Senior Manager, Cox Cleantech",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/taylor-knox-jr-1a04a619/,
Erin  Connolly,Erin  Connolly,"Manager, Cox Cleantech",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/erin-connolly-92354899/,
Matt  Kogan,Matt  Kogan,Sr. Director Growth Operations,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/matthewkogan/,
Joy Dillard,Joy Dillard,"Sr. Director, Strategy & Investments",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/joydillard/,
Noel  Hardin,Noel  Hardin,"Manager, Corporate Development",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/noel-hardin-8b31a3a8/,
Spencer Boice,Spencer Boice,"VP, Growth Operations",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/spencer-boice-12ba348/,
Vipul Gondalia,Vipul Gondalia,Fostware Engineer,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/vipul-gondalia-2757431a/,
Ordy Gnewou,Ordy Gnewou,Strategy Manager,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/ordygnewou/,
Kim  Alfonso,Kim  Alfonso,*Functional SME Lead for HR / Org Design,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/kimalfonsohrbizpartner/,
Brian Anderson,Brian Anderson,Human Centered Design,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/brianmanderson/,
Kristie  Douglass,Kristie  Douglass,Program management,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/kristie-douglass/,
Jonathan Lanken,Jonathan Lanken,Corporate Development workshop?,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/jonathan-lanken-5979254/,
Jeff Haynes,Jeff Haynes,Marketing Senior Manager,Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/jeffehaynes/,
Dane Bamburry,Dane Bamburry,Sr. Director Enterprise Architecture,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/danebamburry/,
Michelle Workman,Michelle Workman,"Sr. Director, Strategy & Prod Enablement",Cox Enterprises,Atlanta,Georgia,,,,,
TreVorski Garrett,TreVorski Garrett,"Diector, Corporate Strategy",Cox Communications,Atlanta,Georgia,,,,https://www.linkedin.com/in/tylongarrett/,
Brandon  Arentson,Brandon  Arentson,"Director, IT Process Excellence",Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/brandonarentson/,
Alexander De Clerck,Alexander De Clerck,"Director, Strategic Planning",Cox Automotive,Atlanta,Georgia,,,,https://www.linkedin.com/in/alexanderdc/,
Michael Rock,Michael Rock,Lead Product Manager,Cox Automotive,Atlanta,Georgia,,,,https://www.linkedin.com/in/michaelrock/,
Amanda Miller,Amanda Miller,AVP HRTS,Cox Enterprises,Atlanta,Georgia,,,,https://www.linkedin.com/in/amanda-miller-b2a6016/,
